time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444900000	10.3547	1.38453	5.04533	0.248767	0.242192	lidar	0.00139074	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5901	1.45008	4.83941	0.266701	0.254073	radar	0	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.803	1.49598	4.79033	0.2691	0.23847	lidar	0.00036413	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0662	1.56621	5.01296	0.278894	0.233204	radar	0	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3764	1.61509	5.13939	0.274227	0.210258	lidar	0.002414	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6074	1.68316	5.02856	0.285961	0.213223	radar	0	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8309	1.75491	4.99641	0.297626	0.214369	lidar	0.000142138	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0892	1.83296	5.18184	0.305652	0.207954	radar	0	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3383	1.86256	5.15502	0.287428	0.165582	lidar	0.00060931	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.5931	1.93841	5.26996	0.294242	0.161933	radar	0	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.774	2.09167	5.189	0.351765	0.233236	lidar	0.00305654	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0428	2.1867	5.38591	0.359463	0.223825	radar	0	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2357	2.34346	5.32335	0.410527	0.281204	lidar	0.00200042	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4286	2.4428	4.983	0.433341	0.30174	radar	0	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6952	2.56962	5.08023	0.454492	0.311618	lidar	0.00115496	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9161	2.68141	5.04522	0.470909	0.313602	radar	0	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1496	2.85112	5.11733	0.514057	0.35406	lidar	0.000884836	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3945	2.98284	5.32114	0.52424	0.336489	radar	0	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.5932	3.04261	5.18442	0.506184	0.284607	lidar	0.00227198	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8311	3.17322	5.30401	0.516994	0.276242	radar	0	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0396	3.3885	5.36262	0.577514	0.344467	lidar	0.00160672	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2568	3.53838	5.2152	0.602447	0.363134	radar	0	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4749	3.74159	5.29199	0.646915	0.402061	lidar	0.000802381	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6798	3.90169	5.27615	0.667579	0.403276	radar	0	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9129	4.03453	5.27807	0.665746	0.371769	lidar	0.000470314	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1085	4.19815	5.1042	0.692942	0.393328	radar	0	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3047	4.3939	5.15303	0.727126	0.414859	lidar	0.000265206	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5111	4.57249	5.24221	0.743715	0.405463	radar	0	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.681	4.72696	5.17299	0.757222	0.394636	lidar	0.000471275	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8408	4.89963	4.87331	0.793332	0.435265	radar	0	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9963	5.12952	4.94388	0.843739	0.477138	lidar	0.000713159	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1609	5.31657	4.97868	0.865255	0.47142	radar	0	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3164	5.48152	4.92881	0.877797	0.454989	lidar	0.000207402	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4658	5.67036	4.90898	0.901664	0.457175	radar	0	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6765	5.75916	4.79546	0.859878	0.364522	lidar	0.00332104	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8258	5.9395	4.70326	0.882766	0.376906	radar	0	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0085	6.12948	4.75975	0.8937	0.367461	lidar	0.000753613	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1652	6.32081	4.81694	0.908763	0.360247	radar	0	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2754	6.57638	4.8947	0.966038	0.41652	lidar	0.00120384	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4123	6.77961	4.8744	0.9886	0.421253	radar	0	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5608	6.89846	4.72567	0.967925	0.360285	lidar	0.00185668	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7127	7.104	4.87348	0.976392	0.338494	radar	0	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.933	7.23519	4.82467	0.934299	0.256762	lidar	0.00358168	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0289	7.40518	4.53596	0.963625	0.292729	radar	0	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0972	7.70903	4.70153	1.04664	0.390525	lidar	0.00375959	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2182	7.91553	4.76058	1.06123	0.378583	radar	0	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2803	8.14291	4.74836	1.10609	0.413224	lidar	0.00122795	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3787	8.35083	4.82333	1.11942	0.391984	radar	0	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4694	8.48248	4.62629	1.11135	0.349919	lidar	0.00274394	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.563	8.68696	4.57336	1.13306	0.359651	radar	0	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7468	8.86192	4.57629	1.10465	0.298099	lidar	0.00371802	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8315	9.05709	4.4343	1.12984	0.322225	radar	0	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9642	9.31096	4.57867	1.14902	0.331237	lidar	0.00272717	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0228	9.50209	4.35445	1.18497	0.37427	radar	0	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0968	9.77383	4.50351	1.23002	0.413807	lidar	0.00150269	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1755	9.98868	4.5929	1.24145	0.390635	radar	0	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2009	10.3094	4.80011	1.31388	0.466041	lidar	0.00288062	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2265	10.5275	4.64499	1.3585	0.510945	radar	0	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2725	10.8373	4.84633	1.40769	0.546434	lidar	0.0024223	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3117	11.0758	4.89518	1.42685	0.525924	radar	0	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3325	11.3316	4.92609	1.46108	0.536832	lidar	6.35168e-05	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2927	11.5476	4.65508	1.53346	0.632687	radar	0	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3678	11.8044	4.73081	1.53894	0.600942	lidar	0.003614	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3892	12.0439	4.9158	1.53677	0.518592	radar	0	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3527	12.3701	5.12824	1.59476	0.563722	lidar	0.0018336	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2998	12.6067	4.96289	1.65825	0.641175	radar	0	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3325	12.8419	4.9233	1.66337	0.606945	lidar	0.00157934	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.311	13.0891	4.93649	1.69058	0.601084	radar	0	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2726	13.2856	4.81059	1.71766	0.594427	lidar	0.00102661	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2335	13.5205	4.86065	1.73705	0.562796	radar	0	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2118	13.7882	4.92838	1.75797	0.555743	lidar	0.000987573	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1495	14.0221	4.88944	1.79599	0.577818	radar	0	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0902	14.2819	4.95035	1.82636	0.581127	lidar	0.000215254	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0144	14.513	4.95693	1.85471	0.571592	radar	0	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8938	14.777	5.06495	1.90307	0.597717	lidar	0.000888315	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8114	15.013	5.10673	1.91674	0.549905	radar	0	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8108	15.1988	4.88848	1.90931	0.50406	lidar	0.00314176	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6784	15.4001	4.67986	1.99799	0.66421	radar	0	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6782	15.5492	4.41426	1.99442	0.615823	lidar	0.00397765	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5887	15.7503	4.4391	2.01517	0.587957	radar	0	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4778	15.9704	4.50804	2.04781	0.592814	lidar	0.000146571	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3821	16.1727	4.55181	2.0539	0.528608	radar	0	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2771	16.3452	4.47853	2.08174	0.529642	lidar	0.000341717	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
